Run,Agent,Iteration,ACoS
0,Truthful Oracle 1,0,0.7286280528640974
0,Truthful Oracle 1,1,1.0592607124416404
0,Truthful Oracle 1,2,0.6473195484194024
0,Truthful Oracle 1,3,0.5752923017187251
0,Truthful Oracle 1,4,0.6300556399920414
0,Truthful Oracle 1,5,0.8012359591844946
0,Truthful Oracle 1,6,0.9304193630452453
0,Truthful Oracle 1,7,0.7630487098925908
0,Truthful Oracle 1,8,0.8367267664875397
0,Truthful Oracle 1,9,0.6630580109464798
0,Truthful Oracle 1,10,0.6472677034256409
0,Truthful Oracle 1,11,0.7341841672663629
0,Truthful Oracle 1,12,1.0853171728524686
0,Truthful Oracle 1,13,0.7359411402991376
0,Truthful Oracle 1,14,0.7434570494783679
0,Truthful Oracle 1,15,0.7399449758809711
0,Truthful Oracle 1,16,0.7116377549099254
0,Truthful Oracle 1,17,0.755943920013171
0,Truthful Oracle 1,18,0.5734600448351607
0,Truthful Oracle 1,19,0.8331427125950027
0,Truthful Oracle 2,0,0.7825693759115948
0,Truthful Oracle 2,1,0.6128411655822892
0,Truthful Oracle 2,2,0.6912450203512135
0,Truthful Oracle 2,3,0.7883355743665706
0,Truthful Oracle 2,4,0.7992282571082148
0,Truthful Oracle 2,5,0.959969486130974
0,Truthful Oracle 2,6,0.8853272573262424
0,Truthful Oracle 2,7,0.8904687468938104
0,Truthful Oracle 2,8,0.6341478268029952
0,Truthful Oracle 2,9,0.6760905491743603
0,Truthful Oracle 2,10,0.6903767887223506
0,Truthful Oracle 2,11,0.8142807889131478
0,Truthful Oracle 2,12,0.7369397943521863
0,Truthful Oracle 2,13,0.9080371820559873
0,Truthful Oracle 2,14,0.8208561359101334
0,Truthful Oracle 2,15,0.7350875918079088
0,Truthful Oracle 2,16,0.925676720533387
0,Truthful Oracle 2,17,0.5691176917926746
0,Truthful Oracle 2,18,0.7320928573185089
0,Truthful Oracle 2,19,0.8139860801929165
0,Truthful Oracle 3,0,0.5709381477019393
0,Truthful Oracle 3,1,0.6381994890376141
0,Truthful Oracle 3,2,0.7976807650583503
0,Truthful Oracle 3,3,0.734285408517662
0,Truthful Oracle 3,4,0.665809189287505
0,Truthful Oracle 3,5,0.5331103055160004
0,Truthful Oracle 3,6,0.4873458049818267
0,Truthful Oracle 3,7,0.5186034897390421
0,Truthful Oracle 3,8,0.7003904465714991
0,Truthful Oracle 3,9,0.879463480919339
0,Truthful Oracle 3,10,0.6145541468099692
0,Truthful Oracle 3,11,0.8135224220295194
0,Truthful Oracle 3,12,0.7678087713584085
0,Truthful Oracle 3,13,0.6560205822563627
0,Truthful Oracle 3,14,0.6846955705330472
0,Truthful Oracle 3,15,0.6536927767177316
0,Truthful Oracle 3,16,0.8345097658079248
0,Truthful Oracle 3,17,0.7874759005458551
0,Truthful Oracle 3,18,0.7870441908417443
0,Truthful Oracle 3,19,0.6242414588005721
0,Truthful Oracle 4,0,0.9445822138445942
0,Truthful Oracle 4,1,0.8419899084448964
0,Truthful Oracle 4,2,0.7254687589799406
0,Truthful Oracle 4,3,0.9082481481442811
0,Truthful Oracle 4,4,0.8122606470031533
0,Truthful Oracle 4,5,0.5996147431392973
0,Truthful Oracle 4,6,0.7650110459231374
0,Truthful Oracle 4,7,0.6958874872984027
0,Truthful Oracle 4,8,0.748884412184616
0,Truthful Oracle 4,9,0.7835739697286183
0,Truthful Oracle 4,10,0.6632728064861114
0,Truthful Oracle 4,11,0.7955135566501041
0,Truthful Oracle 4,12,0.7276877483114129
0,Truthful Oracle 4,13,0.8073351398291666
0,Truthful Oracle 4,14,0.6361378628824154
0,Truthful Oracle 4,15,0.6966422204867112
0,Truthful Oracle 4,16,0.7801194191202334
0,Truthful Oracle 4,17,0.8152762798890124
0,Truthful Oracle 4,18,0.7996731239128929
0,Truthful Oracle 4,19,0.6407382868182813
0,Truthful Oracle 5,0,0.6580120767083256
0,Truthful Oracle 5,1,0.6795536296644824
0,Truthful Oracle 5,2,0.6356533678982405
0,Truthful Oracle 5,3,0.6252361724983935
0,Truthful Oracle 5,4,0.7285387400792671
0,Truthful Oracle 5,5,0.5325243697650084
0,Truthful Oracle 5,6,0.7496568516290163
0,Truthful Oracle 5,7,0.5489062429422813
0,Truthful Oracle 5,8,0.6478439462362073
0,Truthful Oracle 5,9,0.7517786991788861
0,Truthful Oracle 5,10,0.7181180994426424
0,Truthful Oracle 5,11,0.6658325063077334
0,Truthful Oracle 5,12,0.6955070501911181
0,Truthful Oracle 5,13,0.757741493333545
0,Truthful Oracle 5,14,0.5320907837707748
0,Truthful Oracle 5,15,0.6826207663580638
0,Truthful Oracle 5,16,0.6944460163238971
0,Truthful Oracle 5,17,0.6928622830601193
0,Truthful Oracle 5,18,0.7186532368185605
0,Truthful Oracle 5,19,0.6598381901880974
0,Truthful Oracle 6,0,0.6723417334275623
0,Truthful Oracle 6,1,0.8388748570472503
0,Truthful Oracle 6,2,0.9212283977741347
0,Truthful Oracle 6,3,0.7037621245098983
0,Truthful Oracle 6,4,0.6746172104569789
0,Truthful Oracle 6,5,0.9392781979229687
0,Truthful Oracle 6,6,0.6996830706429085
0,Truthful Oracle 6,7,0.8841240258522229
0,Truthful Oracle 6,8,1.0159167865007463
0,Truthful Oracle 6,9,0.6217721121122931
0,Truthful Oracle 6,10,0.8271670013385242
0,Truthful Oracle 6,11,0.7754108738070635
0,Truthful Oracle 6,12,0.7532562933567835
0,Truthful Oracle 6,13,0.6662013816556177
0,Truthful Oracle 6,14,0.9800199067435712
0,Truthful Oracle 6,15,0.9317655627493128
0,Truthful Oracle 6,16,1.1065689364555555
0,Truthful Oracle 6,17,0.6966642832786243
0,Truthful Oracle 6,18,0.8107702078710015
0,Truthful Oracle 6,19,0.6931244960301108
1,Truthful Oracle 1,0,1.0549491109980274
1,Truthful Oracle 1,1,0.7450203171849866
1,Truthful Oracle 1,2,0.7731016416468433
1,Truthful Oracle 1,3,0.6538518500706306
1,Truthful Oracle 1,4,0.8137911929773218
1,Truthful Oracle 1,5,0.6542367548992107
1,Truthful Oracle 1,6,0.7417546633737062
1,Truthful Oracle 1,7,0.9839825002052852
1,Truthful Oracle 1,8,0.6017229890499455
1,Truthful Oracle 1,9,1.069746748396421
1,Truthful Oracle 1,10,0.7571382530210592
1,Truthful Oracle 1,11,0.8667351557401815
1,Truthful Oracle 1,12,0.9299697420530442
1,Truthful Oracle 1,13,0.7709890428523979
1,Truthful Oracle 1,14,0.599907871181052
1,Truthful Oracle 1,15,0.8135829195954879
1,Truthful Oracle 1,16,0.7040158915222361
1,Truthful Oracle 1,17,0.6177049643050794
1,Truthful Oracle 1,18,0.9728162647303589
1,Truthful Oracle 1,19,0.5629423778940889
1,Truthful Oracle 2,0,0.8454258168829589
