Run,Agent,Iteration,Underbid Regret
0,Truthful Oracle 6,16,-763.5130972340459
0,Truthful Oracle 6,17,-740.9567958658123
0,Truthful Oracle 6,18,-713.9465135612097
0,Truthful Oracle 6,19,-720.8415305040392
1,Truthful Oracle 1,0,-689.1374260913273
1,Truthful Oracle 1,1,-663.3729347089404
1,Truthful Oracle 1,2,-703.2417196231592
1,Truthful Oracle 1,3,-663.4709517451427
1,Truthful Oracle 1,4,-682.3123405516081
1,Truthful Oracle 1,5,-691.7658425901964
1,Truthful Oracle 1,6,-663.5278959681473
1,Truthful Oracle 1,7,-674.3802948090779
1,Truthful Oracle 1,8,-677.983995110355
1,Truthful Oracle 1,9,-687.9861133889017
1,Truthful Oracle 1,10,-681.6814939344752
1,Truthful Oracle 1,11,-690.5812213012852
1,Truthful Oracle 1,12,-721.0428856142996
1,Truthful Oracle 1,13,-687.6615091815047
1,Truthful Oracle 1,14,-673.3189254478323
1,Truthful Oracle 1,15,-662.148550489904
1,Truthful Oracle 1,16,-704.4292003949624
1,Truthful Oracle 1,17,-659.4356822162847
1,Truthful Oracle 1,18,-694.3156037957798
1,Truthful Oracle 1,19,-696.1084512754063
1,Truthful Oracle 2,0,-717.3000034939223
1,Truthful Oracle 2,1,-699.0774222915412
1,Truthful Oracle 2,2,-702.7446832945616
1,Truthful Oracle 2,3,-711.2687337558127
1,Truthful Oracle 2,4,-669.4341932938091
1,Truthful Oracle 2,5,-702.4298623304701
1,Truthful Oracle 2,6,-677.7372958682025
1,Truthful Oracle 2,7,-723.1183218868969
1,Truthful Oracle 2,8,-687.252666002136
1,Truthful Oracle 2,9,-691.4978944618241
1,Truthful Oracle 2,10,-703.0214818219033
1,Truthful Oracle 2,11,-685.0058074794194
1,Truthful Oracle 2,12,-680.9971902136062
1,Truthful Oracle 2,13,-661.094610360447
1,Truthful Oracle 2,14,-675.0957727140712
1,Truthful Oracle 2,15,-709.8763096499945
1,Truthful Oracle 2,16,-690.7539758751067
1,Truthful Oracle 2,17,-697.2246091666542
1,Truthful Oracle 2,18,-676.7134489057628
1,Truthful Oracle 2,19,-716.52284822702
1,Truthful Oracle 3,0,-813.6214928139091
1,Truthful Oracle 3,1,-809.1893831301135
1,Truthful Oracle 3,2,-808.5303577004747
1,Truthful Oracle 3,3,-804.2279780607607
1,Truthful Oracle 3,4,-821.1686181298244
1,Truthful Oracle 3,5,-824.6889267623549
1,Truthful Oracle 3,6,-827.0141635315151
1,Truthful Oracle 3,7,-822.2022985521306
1,Truthful Oracle 3,8,-810.4597861005918
1,Truthful Oracle 3,9,-816.5758415757689
1,Truthful Oracle 3,10,-832.1791893797537
1,Truthful Oracle 3,11,-820.8437763503758
1,Truthful Oracle 3,12,-800.6814560025892
1,Truthful Oracle 3,13,-832.1685725751402
1,Truthful Oracle 3,14,-855.4802223627322
1,Truthful Oracle 3,15,-828.4270266526931
1,Truthful Oracle 3,16,-825.6719563708375
1,Truthful Oracle 3,17,-838.2671283282193
1,Truthful Oracle 3,18,-807.0176981022678
1,Truthful Oracle 3,19,-841.1807199159928
1,Truthful Oracle 4,0,-512.2751496940207
1,Truthful Oracle 4,1,-513.1554648988193
1,Truthful Oracle 4,2,-504.0459493601684
1,Truthful Oracle 4,3,-512.2583009683239
1,Truthful Oracle 4,4,-513.2117276220977
1,Truthful Oracle 4,5,-485.7002958882962
1,Truthful Oracle 4,6,-552.9049032012718
1,Truthful Oracle 4,7,-507.4472394498882
1,Truthful Oracle 4,8,-532.4400295938572
1,Truthful Oracle 4,9,-498.69441226483076
1,Truthful Oracle 4,10,-479.36131016170236
1,Truthful Oracle 4,11,-519.8230691809116
1,Truthful Oracle 4,12,-515.2309518085779
1,Truthful Oracle 4,13,-516.4317238023314
1,Truthful Oracle 4,14,-501.9163478353389
1,Truthful Oracle 4,15,-505.97602429572066
1,Truthful Oracle 4,16,-520.5003221998037
1,Truthful Oracle 4,17,-518.0143775912263
1,Truthful Oracle 4,18,-534.5616403456345
1,Truthful Oracle 4,19,-501.8574334454527
1,Truthful Oracle 5,0,-661.2871576842197
1,Truthful Oracle 5,1,-719.128469112366
1,Truthful Oracle 5,2,-645.8186114722624
1,Truthful Oracle 5,3,-677.0367931297756
1,Truthful Oracle 5,4,-716.259985868557
1,Truthful Oracle 5,5,-692.438483870381
1,Truthful Oracle 5,6,-668.587841344014
1,Truthful Oracle 5,7,-704.1964537216797
1,Truthful Oracle 5,8,-693.9354900822284
1,Truthful Oracle 5,9,-652.7572643743829
1,Truthful Oracle 5,10,-706.1616069003147
1,Truthful Oracle 5,11,-669.5553292988252
1,Truthful Oracle 5,12,-659.9120789647519
1,Truthful Oracle 5,13,-691.4670351593586
1,Truthful Oracle 5,14,-676.0108776479115
1,Truthful Oracle 5,15,-700.0180046081232
1,Truthful Oracle 5,16,-687.6162103419389
1,Truthful Oracle 5,17,-675.2842629387803
1,Truthful Oracle 5,18,-657.6902844925168
1,Truthful Oracle 5,19,-672.2051674132078
1,Truthful Oracle 6,0,-721.4100033390952
