Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Gross Utility 1,0,880.0
0,PPO Bidder - Gross Utility 1,1,13560.0
0,PPO Bidder - Gross Utility 1,2,17740.0
0,PPO Bidder - Gross Utility 1,3,18060.0
0,PPO Bidder - Gross Utility 1,4,18060.0
0,PPO Bidder - Gross Utility 1,5,18000.0
0,PPO Bidder - Gross Utility 1,6,18340.0
0,PPO Bidder - Gross Utility 1,7,17400.0
0,PPO Bidder - Gross Utility 1,8,17380.0
0,PPO Bidder - Gross Utility 1,9,16660.0
0,PPO Bidder - Gross Utility 1,10,17900.0
0,PPO Bidder - Gross Utility 1,11,17120.0
0,PPO Bidder - Gross Utility 1,12,17300.0
0,PPO Bidder - Gross Utility 1,13,17280.0
0,PPO Bidder - Gross Utility 1,14,16480.0
0,PPO Bidder - Gross Utility 1,15,17780.0
0,PPO Bidder - Gross Utility 1,16,17780.0
0,PPO Bidder - Gross Utility 1,17,17200.0
0,PPO Bidder - Gross Utility 1,18,18760.0
0,PPO Bidder - Gross Utility 1,19,16960.0
0,PPO Bidder - Gross Utility 1,20,17620.0
0,PPO Bidder - Gross Utility 1,21,17720.0
0,PPO Bidder - Gross Utility 1,22,17780.0
0,PPO Bidder - Gross Utility 1,23,16400.0
0,PPO Bidder - Gross Utility 1,24,17120.0
0,Truthful Competitor 2,0,1460.0
0,Truthful Competitor 2,1,5600.0
0,Truthful Competitor 2,2,4860.0
0,Truthful Competitor 2,3,4880.0
0,Truthful Competitor 2,4,5540.0
0,Truthful Competitor 2,5,4660.0
0,Truthful Competitor 2,6,5160.0
0,Truthful Competitor 2,7,5600.0
0,Truthful Competitor 2,8,5140.0
0,Truthful Competitor 2,9,5560.0
0,Truthful Competitor 2,10,4820.0
0,Truthful Competitor 2,11,5260.0
0,Truthful Competitor 2,12,5520.0
0,Truthful Competitor 2,13,5520.0
0,Truthful Competitor 2,14,5700.0
0,Truthful Competitor 2,15,5220.0
0,Truthful Competitor 2,16,5340.0
0,Truthful Competitor 2,17,4780.0
0,Truthful Competitor 2,18,5340.0
0,Truthful Competitor 2,19,5160.0
0,Truthful Competitor 2,20,5300.0
0,Truthful Competitor 2,21,5380.0
0,Truthful Competitor 2,22,5400.0
0,Truthful Competitor 2,23,5380.0
0,Truthful Competitor 2,24,5240.0
0,Truthful Competitor 3,0,1260.0
0,Truthful Competitor 3,1,8220.0
0,Truthful Competitor 3,2,8240.0
0,Truthful Competitor 3,3,8880.0
0,Truthful Competitor 3,4,8320.0
0,Truthful Competitor 3,5,9040.0
0,Truthful Competitor 3,6,7640.0
0,Truthful Competitor 3,7,8980.0
0,Truthful Competitor 3,8,8800.0
0,Truthful Competitor 3,9,9460.0
0,Truthful Competitor 3,10,8460.0
0,Truthful Competitor 3,11,8760.0
0,Truthful Competitor 3,12,9260.0
0,Truthful Competitor 3,13,9080.0
0,Truthful Competitor 3,14,9500.0
0,Truthful Competitor 3,15,9800.0
0,Truthful Competitor 3,16,8380.0
0,Truthful Competitor 3,17,8080.0
0,Truthful Competitor 3,18,9160.0
0,Truthful Competitor 3,19,9680.0
0,Truthful Competitor 3,20,9560.0
