Run,Agent,Iteration,Net Utility
0,PPO Bidder - Gross Utility 1,0,-9213.054590683927
0,PPO Bidder - Gross Utility 1,1,9469.273448814538
0,PPO Bidder - Gross Utility 1,2,11716.847904346694
0,PPO Bidder - Gross Utility 1,3,11981.484205362078
0,PPO Bidder - Gross Utility 1,4,12103.694249496592
0,PPO Bidder - Gross Utility 1,5,12086.297866129451
0,PPO Bidder - Gross Utility 1,6,11942.584287233492
0,PPO Bidder - Gross Utility 1,7,12013.492771376137
0,PPO Bidder - Gross Utility 1,8,11916.5456857442
0,PPO Bidder - Gross Utility 1,9,11941.00927249927
0,PPO Bidder - Gross Utility 1,10,11832.326503524915
0,PPO Bidder - Gross Utility 1,11,11709.661982011154
0,PPO Bidder - Gross Utility 1,12,11920.813055243203
0,PPO Bidder - Gross Utility 1,13,11848.364160888925
0,PPO Bidder - Gross Utility 1,14,11670.861128879726
0,PPO Bidder - Gross Utility 1,15,11852.901388729586
0,PPO Bidder - Gross Utility 1,16,11895.430790634737
0,PPO Bidder - Gross Utility 1,17,12080.039003387668
0,PPO Bidder - Gross Utility 1,18,12026.387006950647
0,PPO Bidder - Gross Utility 1,19,11609.394357480212
0,PPO Bidder - Gross Utility 1,20,11896.355829927052
0,PPO Bidder - Gross Utility 1,21,11911.125376139373
0,PPO Bidder - Gross Utility 1,22,11971.507318393611
0,PPO Bidder - Gross Utility 1,23,11746.678885781292
0,PPO Bidder - Gross Utility 1,24,12052.900788314053
1,PPO Bidder - Gross Utility 1,0,-23785.100896592587
1,PPO Bidder - Gross Utility 1,1,9209.201558831053
1,PPO Bidder - Gross Utility 1,2,11352.545350274951
1,PPO Bidder - Gross Utility 1,3,11999.138807797619
1,PPO Bidder - Gross Utility 1,4,11800.142450425266
1,PPO Bidder - Gross Utility 1,5,12046.980775855542
1,PPO Bidder - Gross Utility 1,6,11989.137671337505
1,PPO Bidder - Gross Utility 1,7,11662.7857497063
1,PPO Bidder - Gross Utility 1,8,11831.835540990487
1,PPO Bidder - Gross Utility 1,9,11698.653738442807
1,PPO Bidder - Gross Utility 1,10,11994.070744964278
1,PPO Bidder - Gross Utility 1,11,11552.56866668385
1,PPO Bidder - Gross Utility 1,12,12154.217438828458
1,PPO Bidder - Gross Utility 1,13,11923.674461766657
1,PPO Bidder - Gross Utility 1,14,11811.582702686972
1,PPO Bidder - Gross Utility 1,15,12087.838419489777
1,PPO Bidder - Gross Utility 1,16,11793.53222473957
1,PPO Bidder - Gross Utility 1,17,11927.52955816074
1,PPO Bidder - Gross Utility 1,18,12060.317128637727
1,PPO Bidder - Gross Utility 1,19,11729.972090792657
1,PPO Bidder - Gross Utility 1,20,11978.273839520285
1,PPO Bidder - Gross Utility 1,21,12117.607239312008
1,PPO Bidder - Gross Utility 1,22,12247.624663096705
1,PPO Bidder - Gross Utility 1,23,12024.13255201103
1,PPO Bidder - Gross Utility 1,24,12135.93928779482
2,PPO Bidder - Gross Utility 1,0,-1640.133364371154
2,PPO Bidder - Gross Utility 1,1,9491.983249247147
2,PPO Bidder - Gross Utility 1,2,11495.465153079731
2,PPO Bidder - Gross Utility 1,3,11830.77115790974
2,PPO Bidder - Gross Utility 1,4,11828.929406704558
2,PPO Bidder - Gross Utility 1,5,11890.878596675997
2,PPO Bidder - Gross Utility 1,6,11852.134221664994
2,PPO Bidder - Gross Utility 1,7,11653.313367876257
2,PPO Bidder - Gross Utility 1,8,11804.36333748125
2,PPO Bidder - Gross Utility 1,9,11672.672574105027
2,PPO Bidder - Gross Utility 1,10,11626.222898209911
2,PPO Bidder - Gross Utility 1,11,11856.90509538035
2,PPO Bidder - Gross Utility 1,12,11960.543219046074
2,PPO Bidder - Gross Utility 1,13,11925.508850218044
2,PPO Bidder - Gross Utility 1,14,11830.389528414596
2,PPO Bidder - Gross Utility 1,15,11982.015518110138
2,PPO Bidder - Gross Utility 1,16,11981.550651512327
2,PPO Bidder - Gross Utility 1,17,11790.7722713793
2,PPO Bidder - Gross Utility 1,18,11953.731811797277
2,PPO Bidder - Gross Utility 1,19,11855.130137503951
2,PPO Bidder - Gross Utility 1,20,12025.601170126918
2,PPO Bidder - Gross Utility 1,21,12028.393425480217
2,PPO Bidder - Gross Utility 1,22,11776.458865179544
2,PPO Bidder - Gross Utility 1,23,11929.338566068276
2,PPO Bidder - Gross Utility 1,24,11781.46616152927
0,Truthful Competitor 2,0,-12174.027023911765
0,Truthful Competitor 2,1,852.162432560575
0,Truthful Competitor 2,2,1378.8362647895003
0,Truthful Competitor 2,3,1502.7100352976129
0,Truthful Competitor 2,4,1437.4134205608386
0,Truthful Competitor 2,5,1476.1902493970358
0,Truthful Competitor 2,6,1391.0336649828757
0,Truthful Competitor 2,7,1558.8028253267094
0,Truthful Competitor 2,8,1434.0165504912625
0,Truthful Competitor 2,9,1513.9776361175773
0,Truthful Competitor 2,10,1468.9242701858159
0,Truthful Competitor 2,11,1500.754643670509
0,Truthful Competitor 2,12,1443.329030511057
0,Truthful Competitor 2,13,1496.5689686081978
0,Truthful Competitor 2,14,1475.867487961901
0,Truthful Competitor 2,15,1501.564972506328
0,Truthful Competitor 2,16,1473.1962746266365
0,Truthful Competitor 2,17,1444.8546283256826
0,Truthful Competitor 2,18,1458.999254271451
0,Truthful Competitor 2,19,1479.8371351545532
0,Truthful Competitor 2,20,1496.7130226605423
0,Truthful Competitor 2,21,1481.9172638559835
0,Truthful Competitor 2,22,1448.8021695905627
