Run,Iteration,Measure,Measure Name
0,0,98015.30708029977,Auction Revenue
0,1,34469.35134249305,Auction Revenue
0,2,21631.46063454496,Auction Revenue
0,3,20166.963992358626,Auction Revenue
0,4,19656.731557953364,Auction Revenue
0,5,20029.07441362137,Auction Revenue
0,6,19997.49202221051,Auction Revenue
0,7,21029.947735592297,Auction Revenue
0,8,19869.56872395575,Auction Revenue
0,9,19737.369358724976,Auction Revenue
0,10,20805.880798568545,Auction Revenue
0,11,19615.15235692936,Auction Revenue
0,12,19787.241461595706,Auction Revenue
0,13,19486.086371726175,Auction Revenue
0,14,19384.438642724534,Auction Revenue
0,15,19487.764717139722,Auction Revenue
0,16,19508.935148401757,Auction Revenue
0,17,19634.119956911014,Auction Revenue
0,18,19706.15785882401,Auction Revenue
0,19,19796.890505128762,Auction Revenue
0,20,20575.95769219471,Auction Revenue
0,21,20169.423327886016,Auction Revenue
0,22,19788.001301973218,Auction Revenue
0,23,19471.261126090732,Auction Revenue
0,24,19765.66702828829,Auction Revenue
1,0,97481.33780961904,Auction Revenue
1,1,24366.455248566803,Auction Revenue
1,2,19033.530553829627,Auction Revenue
1,3,19946.077998769444,Auction Revenue
1,4,20422.034919979986,Auction Revenue
1,5,20343.158644474748,Auction Revenue
1,6,20480.07655470754,Auction Revenue
1,7,20434.802531227175,Auction Revenue
1,8,20461.163308127972,Auction Revenue
1,9,20820.81727345376,Auction Revenue
1,10,20685.56150757194,Auction Revenue
1,11,20751.77241048065,Auction Revenue
1,12,20587.450801651692,Auction Revenue
1,13,20714.64202082125,Auction Revenue
1,14,20809.39200110931,Auction Revenue
1,15,20506.756906377097,Auction Revenue
1,16,20813.56831612758,Auction Revenue
1,17,20598.51515869491,Auction Revenue
1,18,20683.61646324228,Auction Revenue
1,19,20548.77592160365,Auction Revenue
1,20,20705.896970892285,Auction Revenue
1,21,20857.367616652442,Auction Revenue
1,22,20549.86735432121,Auction Revenue
1,23,20680.161191706684,Auction Revenue
1,24,20298.627242086968,Auction Revenue
2,0,101339.91743173845,Auction Revenue
2,1,37457.59195879174,Auction Revenue
2,2,20490.69114900006,Auction Revenue
2,3,20388.031365691786,Auction Revenue
2,4,20743.713832806276,Auction Revenue
2,5,20987.41319794204,Auction Revenue
2,6,21175.830302234033,Auction Revenue
2,7,21048.341351637933,Auction Revenue
2,8,21218.992969818933,Auction Revenue
2,9,20871.81588480359,Auction Revenue
2,10,20880.90550882776,Auction Revenue
2,11,21102.551325482247,Auction Revenue
2,12,21174.873810086625,Auction Revenue
2,13,21042.400685335382,Auction Revenue
2,14,20959.90910855753,Auction Revenue
2,15,20999.669634875612,Auction Revenue
2,16,21123.29395329459,Auction Revenue
2,17,21112.64287180572,Auction Revenue
2,18,20927.510631102414,Auction Revenue
2,19,21004.27542499333,Auction Revenue
2,20,21147.372645641797,Auction Revenue
2,21,20924.131715338684,Auction Revenue
2,22,21103.563626867577,Auction Revenue
2,23,21146.40553466005,Auction Revenue
2,24,21101.405057238342,Auction Revenue
0,0,-90097.20785835397,Social Surplus
0,1,-8750.98947827938,Social Surplus
0,2,17482.036933766565,Social Surplus
0,3,19052.720653171455,Social Surplus
0,4,19718.28244601277,Social Surplus
0,5,19478.074405793683,Social Surplus
0,6,19357.6800217288,Social Surplus
0,7,17295.25378702964,Social Surplus
0,8,19441.697604867626,Social Surplus
0,9,19673.982712525278,Social Surplus
0,10,17889.420876292184,Social Surplus
0,11,19580.7931481055,Social Surplus
0,12,19161.00691521198,Social Surplus
0,13,19382.327673605545,Social Surplus
0,14,19868.184853832794,Social Surplus
0,15,19816.73989343142,Social Surplus
0,16,19482.838704186837,Social Surplus
0,17,19385.81962133398,Social Surplus
0,18,19482.14191801186,Social Surplus
0,19,19497.84683525158,Social Surplus
0,20,18419.024926175196,Social Surplus
0,21,18947.321356323784,Social Surplus
0,22,19431.489511923744,Social Surplus
0,23,19805.461766279845,Social Surplus
0,24,19595.077460902638,Social Surplus
1,0,-87235.48723920097,Social Surplus
1,1,4290.909078101219,Social Surplus
1,2,18753.514747484693,Social Surplus
1,3,19421.169957857703,Social Surplus
1,4,18535.269477616483,Social Surplus
1,5,19163.37560826386,Social Surplus
1,6,18757.20511346553,Social Surplus
1,7,19088.015628277153,Social Surplus
1,8,19229.860366340257,Social Surplus
1,9,18894.055362765055,Social Surplus
1,10,18770.66886100527,Social Surplus
1,11,18816.975734318254,Social Surplus
1,12,18693.648403628333,Social Surplus
1,13,19088.399029724118,Social Surplus
1,14,18749.514270790867,Social Surplus
1,15,18981.717589133645,Social Surplus
1,16,18731.511032604427,Social Surplus
1,17,18747.88861038489,Social Surplus
1,18,18623.857869249932,Social Surplus
1,19,18644.93002765858,Social Surplus
1,20,18963.750919376744,Social Surplus
1,21,18441.845622087614,Social Surplus
1,22,19014.80852137415,Social Surplus
1,23,18974.808889110613,Social Surplus
1,24,19166.835923842238,Social Surplus
2,0,-93736.89565538008,Social Surplus
2,1,-12704.683337946208,Social Surplus
2,2,18443.840656478144,Social Surplus
2,3,18760.26565935574,Social Surplus
2,4,18865.959080671746,Social Surplus
2,5,18926.406077340165,Social Surplus
2,6,18509.299748830552,Social Surplus
2,7,18815.490348711744,Social Surplus
2,8,18424.363230117564,Social Surplus
2,9,18941.094912812976,Social Surplus
2,10,19038.79054547173,Social Surplus
2,11,18713.927295656802,Social Surplus
2,12,18757.337526823074,Social Surplus
2,13,18755.729724603345,Social Surplus
2,14,18675.485711519017,Social Surplus
2,15,19193.99014611202,Social Surplus
2,16,18746.112387383626,Social Surplus
2,17,18480.94843404193,Social Surplus
2,18,18949.98188545586,Social Surplus
2,19,19087.190864025753,Social Surplus
2,20,18533.32295898403,Social Surplus
2,21,18855.87259374493,Social Surplus
2,22,18717.32866465199,Social Surplus
2,23,18847.148113756164,Social Surplus
2,24,18725.614932796383,Social Surplus
0,0,7918.099221946668,Social Welfare
0,1,25718.36186421273,Social Welfare
0,2,39113.49756831251,Social Welfare
0,3,39219.684645531386,Social Welfare
0,4,39375.01400396785,Social Welfare
0,5,39507.14881941671,Social Welfare
0,6,39355.172043940685,Social Welfare
0,7,38325.201522622956,Social Welfare
0,8,39311.26632882438,Social Welfare
0,9,39411.35207125113,Social Welfare
0,10,38695.301674861796,Social Welfare
0,11,39195.945505036434,Social Welfare
0,12,38948.248376808806,Social Welfare
0,13,38868.414045332975,Social Welfare
0,14,39252.62349655839,Social Welfare
0,15,39304.504610572556,Social Welfare
0,16,38991.773852589606,Social Welfare
0,17,39019.939578246136,Social Welfare
0,18,39188.299776836895,Social Welfare
0,19,39294.73734038148,Social Welfare
0,20,38994.98261837082,Social Welfare
0,21,39116.74468421118,Social Welfare
0,22,39219.49081389811,Social Welfare
0,23,39276.72289237186,Social Welfare
0,24,39360.744489192206,Social Welfare
1,0,10245.850570418079,Social Welfare
1,1,28657.364326667503,Social Welfare
1,2,37787.04530131579,Social Welfare
1,3,39367.247956628526,Social Welfare
1,4,38957.304397597436,Social Welfare
1,5,39506.53425273981,Social Welfare
1,6,39237.281668174626,Social Welfare
1,7,39522.81815950593,Social Welfare
1,8,39691.02367446955,Social Welfare
1,9,39714.8726362201,Social Welfare
1,10,39456.230368578435,Social Welfare
1,11,39568.74814480017,Social Welfare
1,12,39281.099205281454,Social Welfare
1,13,39803.04105054695,Social Welfare
1,14,39558.90627190173,Social Welfare
1,15,39488.47449551192,Social Welfare
1,16,39545.079348733336,Social Welfare
1,17,39346.40376908123,Social Welfare
1,18,39307.47433249357,Social Welfare
1,19,39193.70594926355,Social Welfare
1,20,39669.647890270215,Social Welfare
1,21,39299.2132387414,Social Welfare
1,22,39564.67587569688,Social Welfare
1,23,39654.97008081895,Social Welfare
1,24,39465.46316593074,Social Welfare
2,0,7603.021776357907,Social Welfare
2,1,24752.908620844384,Social Welfare
2,2,38934.531805479484,Social Welfare
2,3,39148.29702504866,Social Welfare
2,4,39609.67291347932,Social Welfare
2,5,39913.81927528314,Social Welfare
2,6,39685.1300510655,Social Welfare
2,7,39863.831700350966,Social Welfare
2,8,39643.3561999373,Social Welfare
2,9,39812.910797617784,Social Welfare
2,10,39919.69605430075,Social Welfare
2,11,39816.47862114014,Social Welfare
