Run,Agent,Iteration,Gross Utility
0,PPO Bidder - Gross Utility 1,0,1874.4566348536416
0,PPO Bidder - Gross Utility 1,1,5436.892952514271
0,PPO Bidder - Gross Utility 1,2,11826.755783344659
0,PPO Bidder - Gross Utility 1,3,12112.525657909082
0,PPO Bidder - Gross Utility 1,4,12070.14453244402
0,PPO Bidder - Gross Utility 1,5,12113.736547208084
0,PPO Bidder - Gross Utility 1,6,11985.382281513894
0,PPO Bidder - Gross Utility 1,7,11464.699882943123
0,PPO Bidder - Gross Utility 1,8,11651.1768349894
0,PPO Bidder - Gross Utility 1,9,11699.61240694947
0,PPO Bidder - Gross Utility 1,10,11264.903148607827
0,PPO Bidder - Gross Utility 1,11,11666.918395876422
0,PPO Bidder - Gross Utility 1,12,11362.985181826973
0,PPO Bidder - Gross Utility 1,13,11398.100971498025
0,PPO Bidder - Gross Utility 1,14,11570.047251956279
0,PPO Bidder - Gross Utility 1,15,11858.238905118706
0,PPO Bidder - Gross Utility 1,16,11640.278831298383
0,PPO Bidder - Gross Utility 1,17,11394.46830360102
0,PPO Bidder - Gross Utility 1,18,11404.155417993034
0,PPO Bidder - Gross Utility 1,19,11807.38155456063
0,PPO Bidder - Gross Utility 1,20,11359.352513929967
0,PPO Bidder - Gross Utility 1,21,11628.169938308365
0,PPO Bidder - Gross Utility 1,22,11658.44217078341
0,PPO Bidder - Gross Utility 1,23,11754.102425404551
0,PPO Bidder - Gross Utility 1,24,11924.837816563804
1,PPO Bidder - Gross Utility 1,0,749.5404760816361
1,PPO Bidder - Gross Utility 1,1,8806.79787163419
1,PPO Bidder - Gross Utility 1,2,12429.778654247551
1,PPO Bidder - Gross Utility 1,3,12081.042536135035
1,PPO Bidder - Gross Utility 1,4,11723.830192929507
1,PPO Bidder - Gross Utility 1,5,12083.464314733039
1,PPO Bidder - Gross Utility 1,6,12240.879923603272
1,PPO Bidder - Gross Utility 1,7,12319.587728038388
1,PPO Bidder - Gross Utility 1,8,12180.335458653182
1,PPO Bidder - Gross Utility 1,9,12065.300975248012
1,PPO Bidder - Gross Utility 1,10,12097.99498632106
1,PPO Bidder - Gross Utility 1,11,12164.593897766159
1,PPO Bidder - Gross Utility 1,12,12100.416764919064
1,PPO Bidder - Gross Utility 1,13,12214.240359025232
1,PPO Bidder - Gross Utility 1,14,12306.267945749369
1,PPO Bidder - Gross Utility 1,15,12102.838543517068
1,PPO Bidder - Gross Utility 1,16,12169.437454962166
1,PPO Bidder - Gross Utility 1,17,12096.784097022059
1,PPO Bidder - Gross Utility 1,18,11907.885366377779
1,PPO Bidder - Gross Utility 1,19,11952.688270440845
1,PPO Bidder - Gross Utility 1,20,12090.72965052705
1,PPO Bidder - Gross Utility 1,21,12022.91984978295
1,PPO Bidder - Gross Utility 1,22,12208.185912530224
1,PPO Bidder - Gross Utility 1,23,12372.866857194467
