Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Net Utility 1,0,5020.0
0,PPO Bidder - Net Utility 1,1,10800.0
0,PPO Bidder - Net Utility 1,2,16720.0
0,PPO Bidder - Net Utility 1,3,18540.0
0,PPO Bidder - Net Utility 1,4,17640.0
0,PPO Bidder - Net Utility 1,5,18320.0
0,PPO Bidder - Net Utility 1,6,17080.0
0,PPO Bidder - Net Utility 1,7,17580.0
0,PPO Bidder - Net Utility 1,8,16340.0
0,PPO Bidder - Net Utility 1,9,17520.0
0,PPO Bidder - Net Utility 1,10,17640.0
0,PPO Bidder - Net Utility 1,11,17040.0
0,PPO Bidder - Net Utility 1,12,16760.0
0,PPO Bidder - Net Utility 1,13,17420.0
0,PPO Bidder - Net Utility 1,14,17300.0
0,PPO Bidder - Net Utility 1,15,18180.0
0,PPO Bidder - Net Utility 1,16,16820.0
0,PPO Bidder - Net Utility 1,17,19160.0
0,PPO Bidder - Net Utility 1,18,18340.0
0,PPO Bidder - Net Utility 1,19,18220.0
0,PPO Bidder - Net Utility 1,20,18220.0
0,PPO Bidder - Net Utility 1,21,18980.0
0,PPO Bidder - Net Utility 1,22,18860.0
0,PPO Bidder - Net Utility 1,23,17340.0
0,PPO Bidder - Net Utility 1,24,17840.0
0,Truthful Competitor 2,0,40.0
0,Truthful Competitor 2,1,60.0
0,Truthful Competitor 2,2,2080.0
0,Truthful Competitor 2,3,1500.0
0,Truthful Competitor 2,4,1480.0
0,Truthful Competitor 2,5,980.0
0,Truthful Competitor 2,6,1320.0
0,Truthful Competitor 2,7,1160.0
0,Truthful Competitor 2,8,820.0
0,Truthful Competitor 2,9,1080.0
0,Truthful Competitor 2,10,1100.0
0,Truthful Competitor 2,11,1000.0
0,Truthful Competitor 2,12,1300.0
0,Truthful Competitor 2,13,1160.0
0,Truthful Competitor 2,14,1540.0
0,Truthful Competitor 2,15,940.0
0,Truthful Competitor 2,16,1120.0
0,Truthful Competitor 2,17,1020.0
0,Truthful Competitor 2,18,1440.0
0,Truthful Competitor 2,19,1200.0
0,Truthful Competitor 2,20,1040.0
