Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Gross Utility 1,0,289
0,PPO Bidder - Gross Utility 1,1,868
0,PPO Bidder - Gross Utility 1,2,968
0,PPO Bidder - Gross Utility 1,3,965
0,PPO Bidder - Gross Utility 1,4,976
0,PPO Bidder - Gross Utility 1,5,956
0,PPO Bidder - Gross Utility 1,6,989
0,PPO Bidder - Gross Utility 1,7,935
0,PPO Bidder - Gross Utility 1,8,910
0,PPO Bidder - Gross Utility 1,9,910
0,PPO Bidder - Gross Utility 1,10,954
0,PPO Bidder - Gross Utility 1,11,918
0,PPO Bidder - Gross Utility 1,12,937
0,PPO Bidder - Gross Utility 1,13,938
0,PPO Bidder - Gross Utility 1,14,911
0,PPO Bidder - Gross Utility 1,15,947
0,PPO Bidder - Gross Utility 1,16,933
0,PPO Bidder - Gross Utility 1,17,914
0,PPO Bidder - Gross Utility 1,18,1006
0,PPO Bidder - Gross Utility 1,19,916
0,PPO Bidder - Gross Utility 1,20,934
0,PPO Bidder - Gross Utility 1,21,970
0,PPO Bidder - Gross Utility 1,22,972
0,PPO Bidder - Gross Utility 1,23,867
0,PPO Bidder - Gross Utility 1,24,922
0,Truthful Competitor 2,0,22
0,Truthful Competitor 2,1,286
0,Truthful Competitor 2,2,230
0,Truthful Competitor 2,3,233
0,Truthful Competitor 2,4,254
0,Truthful Competitor 2,5,214
0,Truthful Competitor 2,6,252
0,Truthful Competitor 2,7,267
0,Truthful Competitor 2,8,231
0,Truthful Competitor 2,9,241
0,Truthful Competitor 2,10,221
0,Truthful Competitor 2,11,237
0,Truthful Competitor 2,12,250
0,Truthful Competitor 2,13,261
0,Truthful Competitor 2,14,272
0,Truthful Competitor 2,15,226
0,Truthful Competitor 2,16,251
0,Truthful Competitor 2,17,222
0,Truthful Competitor 2,18,243
0,Truthful Competitor 2,19,248
0,Truthful Competitor 2,20,256
0,Truthful Competitor 2,21,264
0,Truthful Competitor 2,22,255
0,Truthful Competitor 2,23,270
0,Truthful Competitor 2,24,231
0,Truthful Competitor 3,0,137
0,Truthful Competitor 3,1,453
0,Truthful Competitor 3,2,396
0,Truthful Competitor 3,3,412
0,Truthful Competitor 3,4,425
0,Truthful Competitor 3,5,433
0,Truthful Competitor 3,6,382
0,Truthful Competitor 3,7,415
0,Truthful Competitor 3,8,424
0,Truthful Competitor 3,9,424
0,Truthful Competitor 3,10,410
0,Truthful Competitor 3,11,438
0,Truthful Competitor 3,12,430
0,Truthful Competitor 3,13,427
0,Truthful Competitor 3,14,445
0,Truthful Competitor 3,15,456
0,Truthful Competitor 3,16,390
0,Truthful Competitor 3,17,394
0,Truthful Competitor 3,18,430
0,Truthful Competitor 3,19,449
0,Truthful Competitor 3,20,461
0,Truthful Competitor 3,21,402
0,Truthful Competitor 3,22,432
0,Truthful Competitor 3,23,448
0,Truthful Competitor 3,24,414
0,Truthful Competitor 4,0,100
0,Truthful Competitor 4,1,168
0,Truthful Competitor 4,2,194
0,Truthful Competitor 4,3,210
0,Truthful Competitor 4,4,196
0,Truthful Competitor 4,5,199
0,Truthful Competitor 4,6,210
0,Truthful Competitor 4,7,196
0,Truthful Competitor 4,8,184
0,Truthful Competitor 4,9,214
0,Truthful Competitor 4,10,200
0,Truthful Competitor 4,11,207
0,Truthful Competitor 4,12,178
0,Truthful Competitor 4,13,193
0,Truthful Competitor 4,14,186
0,Truthful Competitor 4,15,210
0,Truthful Competitor 4,16,190
0,Truthful Competitor 4,17,180
0,Truthful Competitor 4,18,192
0,Truthful Competitor 4,19,192
0,Truthful Competitor 4,20,200
0,Truthful Competitor 4,21,193
0,Truthful Competitor 4,22,167
0,Truthful Competitor 4,23,206
0,Truthful Competitor 4,24,224
0,Truthful Competitor 5,0,288
0,Truthful Competitor 5,1,218
0,Truthful Competitor 5,2,226
0,Truthful Competitor 5,3,225
0,Truthful Competitor 5,4,197
0,Truthful Competitor 5,5,189
0,Truthful Competitor 5,6,205
0,Truthful Competitor 5,7,234
0,Truthful Competitor 5,8,203
0,Truthful Competitor 5,9,222
0,Truthful Competitor 5,10,192
0,Truthful Competitor 5,11,247
0,Truthful Competitor 5,12,226
0,Truthful Competitor 5,13,230
0,Truthful Competitor 5,14,212
0,Truthful Competitor 5,15,210
0,Truthful Competitor 5,16,223
0,Truthful Competitor 5,17,235
0,Truthful Competitor 5,18,197
0,Truthful Competitor 5,19,231
0,Truthful Competitor 5,20,230
0,Truthful Competitor 5,21,201
0,Truthful Competitor 5,22,208
0,Truthful Competitor 5,23,217
0,Truthful Competitor 5,24,214
0,Truthful Competitor 6,0,54
0,Truthful Competitor 6,1,90
0,Truthful Competitor 6,2,48
0,Truthful Competitor 6,3,51
0,Truthful Competitor 6,4,58
0,Truthful Competitor 6,5,45
0,Truthful Competitor 6,6,54
0,Truthful Competitor 6,7,55
0,Truthful Competitor 6,8,45
0,Truthful Competitor 6,9,58
0,Truthful Competitor 6,10,56
0,Truthful Competitor 6,11,68
0,Truthful Competitor 6,12,57
0,Truthful Competitor 6,13,52
0,Truthful Competitor 6,14,35
0,Truthful Competitor 6,15,49
0,Truthful Competitor 6,16,61
0,Truthful Competitor 6,17,51
0,Truthful Competitor 6,18,55
0,Truthful Competitor 6,19,59
0,Truthful Competitor 6,20,55
0,Truthful Competitor 6,21,50
0,Truthful Competitor 6,22,38
0,Truthful Competitor 6,23,47
0,Truthful Competitor 6,24,41
1,PPO Bidder - Gross Utility 1,0,520
1,PPO Bidder - Gross Utility 1,1,919
1,PPO Bidder - Gross Utility 1,2,942
