Run,Agent,Iteration,ACoS
0,PPO Bidder - Gross Utility 1,0,3.0517263214185344
0,PPO Bidder - Gross Utility 1,1,0.22836503000971625
0,PPO Bidder - Gross Utility 1,2,0.20956763009867194
0,PPO Bidder - Gross Utility 1,3,0.20591274191514292
0,PPO Bidder - Gross Utility 1,4,0.20293598381392403
0,PPO Bidder - Gross Utility 1,5,0.20813264921308564
0,PPO Bidder - Gross Utility 1,6,0.2047007360195432
0,PPO Bidder - Gross Utility 1,7,0.20812494750505509
0,PPO Bidder - Gross Utility 1,8,0.21911416496190225
0,PPO Bidder - Gross Utility 1,9,0.21500118205550267
0,PPO Bidder - Gross Utility 1,10,0.20841556472395226
0,PPO Bidder - Gross Utility 1,11,0.21036441438596187
0,PPO Bidder - Gross Utility 1,12,0.20869533994743533
0,PPO Bidder - Gross Utility 1,13,0.21071012790725221
0,PPO Bidder - Gross Utility 1,14,0.2166403790701486
0,PPO Bidder - Gross Utility 1,15,0.2096134155388736
0,PPO Bidder - Gross Utility 1,16,0.21201119269916613
0,PPO Bidder - Gross Utility 1,17,0.2126661487658193
0,PPO Bidder - Gross Utility 1,18,0.19075597008261663
0,PPO Bidder - Gross Utility 1,19,0.21595784780866728
0,PPO Bidder - Gross Utility 1,20,0.20820486741337815
0,PPO Bidder - Gross Utility 1,21,0.20827451224316962
0,PPO Bidder - Gross Utility 1,22,0.20064204934154123
0,PPO Bidder - Gross Utility 1,23,0.22561468011350047
0,PPO Bidder - Gross Utility 1,24,0.21174432218015346
0,Truthful Competitor 2,0,4.888257181106306
0,Truthful Competitor 2,1,0.3095903107279568
0,Truthful Competitor 2,2,0.2709127463574192
0,Truthful Competitor 2,3,0.24447412696296658
0,Truthful Competitor 2,4,0.23556295626586718
0,Truthful Competitor 2,5,0.261011368558255
0,Truthful Competitor 2,6,0.22810390770351097
0,Truthful Competitor 2,7,0.2120905988831694
0,Truthful Competitor 2,8,0.2579248519376973
0,Truthful Competitor 2,9,0.24164749196966104
0,Truthful Competitor 2,10,0.259159264107191
0,Truthful Competitor 2,11,0.237619141414913
0,Truthful Competitor 2,12,0.228009857303012
0,Truthful Competitor 2,13,0.2161208271335261
0,Truthful Competitor 2,14,0.21377407620345307
0,Truthful Competitor 2,15,0.25665606231353033
0,Truthful Competitor 2,16,0.23366332911453364
0,Truthful Competitor 2,17,0.2606185498516312
0,Truthful Competitor 2,18,0.23016987202465275
0,Truthful Competitor 2,19,0.23160360573443267
0,Truthful Competitor 2,20,0.2282034284565222
0,Truthful Competitor 2,21,0.22309632658621142
0,Truthful Competitor 2,22,0.22905486081315946
0,Truthful Competitor 2,23,0.20774552048732112
0,Truthful Competitor 2,24,0.2512800200074032
0,Truthful Competitor 3,0,2.5095440449523623
0,Truthful Competitor 3,1,0.21869784076308646
0,Truthful Competitor 3,2,0.20025578942947056
0,Truthful Competitor 3,3,0.18057536222711137
0,Truthful Competitor 3,4,0.16716611047801744
0,Truthful Competitor 3,5,0.16675983287634227
0,Truthful Competitor 3,6,0.1905474794165872
0,Truthful Competitor 3,7,0.1718328953384191
0,Truthful Competitor 3,8,0.17071895627911524
0,Truthful Competitor 3,9,0.1761874177348321
0,Truthful Competitor 3,10,0.177590573169729
0,Truthful Competitor 3,11,0.17477439074877085
0,Truthful Competitor 3,12,0.17705530207441886
0,Truthful Competitor 3,13,0.1638070630931911
0,Truthful Competitor 3,14,0.15960508997317133
0,Truthful Competitor 3,15,0.15757708809904208
0,Truthful Competitor 3,16,0.18004732478399024
0,Truthful Competitor 3,17,0.18321812362436565
0,Truthful Competitor 3,18,0.16504612592146958
0,Truthful Competitor 3,19,0.15938702942552907
0,Truthful Competitor 3,20,0.16072841321332548
0,Truthful Competitor 3,21,0.17982706640887144
0,Truthful Competitor 3,22,0.16926259094082005
0,Truthful Competitor 3,23,0.16435517627587473
0,Truthful Competitor 3,24,0.17507365193004276
0,Truthful Competitor 4,0,2.4726295410260386
0,Truthful Competitor 4,1,0.3145528220001504
0,Truthful Competitor 4,2,0.24656656569008564
0,Truthful Competitor 4,3,0.22375724486061987
0,Truthful Competitor 4,4,0.24821941572781597
0,Truthful Competitor 4,5,0.24294493557367436
0,Truthful Competitor 4,6,0.215763977619923
0,Truthful Competitor 4,7,0.2439558276921547
0,Truthful Competitor 4,8,0.23280303128586327
0,Truthful Competitor 4,9,0.22107682914970958
0,Truthful Competitor 4,10,0.22913286436432187
0,Truthful Competitor 4,11,0.22131285054873986
0,Truthful Competitor 4,12,0.25556987118353475
0,Truthful Competitor 4,13,0.21872376607102012
0,Truthful Competitor 4,14,0.25139203700645946
0,Truthful Competitor 4,15,0.21771004294306692
0,Truthful Competitor 4,16,0.23674105035530663
0,Truthful Competitor 4,17,0.2559953121958317
0,Truthful Competitor 4,18,0.24303185289386278
0,Truthful Competitor 4,19,0.2326220652999596
0,Truthful Competitor 4,20,0.23266474917339042
0,Truthful Competitor 4,21,0.23264410721844125
0,Truthful Competitor 4,22,0.2683934882022046
0,Truthful Competitor 4,23,0.21083530741350354
0,Truthful Competitor 4,24,0.20689636412141063
0,Truthful Competitor 5,0,2.168192541024468
0,Truthful Competitor 5,1,0.30791015578869074
0,Truthful Competitor 5,2,0.24325946167573514
0,Truthful Competitor 5,3,0.23770264525026127
0,Truthful Competitor 5,4,0.27177127668269446
