Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Net Utility 1,0,5934
0,PPO Bidder - Net Utility 1,1,7471
0,PPO Bidder - Net Utility 1,2,8912
0,PPO Bidder - Net Utility 1,3,8933
0,PPO Bidder - Net Utility 1,4,8874
0,PPO Bidder - Net Utility 1,5,8885
0,PPO Bidder - Net Utility 1,6,8870
0,PPO Bidder - Net Utility 1,7,8818
0,PPO Bidder - Net Utility 1,8,8911
0,PPO Bidder - Net Utility 1,9,8937
0,PPO Bidder - Net Utility 1,10,8922
0,PPO Bidder - Net Utility 1,11,8789
0,PPO Bidder - Net Utility 1,12,8927
0,PPO Bidder - Net Utility 1,13,8968
0,PPO Bidder - Net Utility 1,14,8865
0,PPO Bidder - Net Utility 1,15,9013
0,PPO Bidder - Net Utility 1,16,9052
0,PPO Bidder - Net Utility 1,17,9025
0,PPO Bidder - Net Utility 1,18,8955
0,PPO Bidder - Net Utility 1,19,8780
0,PPO Bidder - Net Utility 1,20,8875
0,PPO Bidder - Net Utility 1,21,8911
0,PPO Bidder - Net Utility 1,22,8864
0,PPO Bidder - Net Utility 1,23,8789
0,PPO Bidder - Net Utility 1,24,8919
0,Truthful Competitor 2,0,884
0,Truthful Competitor 2,1,2675
0,Truthful Competitor 2,2,2550
0,Truthful Competitor 2,3,2692
0,Truthful Competitor 2,4,2680
0,Truthful Competitor 2,5,2637
0,Truthful Competitor 2,6,2605
0,Truthful Competitor 2,7,2735
0,Truthful Competitor 2,8,2651
0,Truthful Competitor 2,9,2666
0,Truthful Competitor 2,10,2651
0,Truthful Competitor 2,11,2671
0,Truthful Competitor 2,12,2638
0,Truthful Competitor 2,13,2607
0,Truthful Competitor 2,14,2622
0,Truthful Competitor 2,15,2640
0,Truthful Competitor 2,16,2622
0,Truthful Competitor 2,17,2565
0,Truthful Competitor 2,18,2591
0,Truthful Competitor 2,19,2636
0,Truthful Competitor 2,20,2682
0,Truthful Competitor 2,21,2706
0,Truthful Competitor 2,22,2615
0,Truthful Competitor 2,23,2648
0,Truthful Competitor 2,24,2770
0,Truthful Competitor 3,0,413
0,Truthful Competitor 3,1,4758
0,Truthful Competitor 3,2,4445
0,Truthful Competitor 3,3,4404
0,Truthful Competitor 3,4,4420
0,Truthful Competitor 3,5,4482
0,Truthful Competitor 3,6,4328
