Run,Agent,Iteration,CVR
0,PPO Bidder - Net Utility 1,0,0.10077519379844961
0,PPO Bidder - Net Utility 1,1,0.09664034265827867
0,PPO Bidder - Net Utility 1,2,0.10222172351885099
0,PPO Bidder - Net Utility 1,3,0.1028769730213814
0,PPO Bidder - Net Utility 1,4,0.10141987829614604
0,PPO Bidder - Net Utility 1,5,0.09814293753517164
0,PPO Bidder - Net Utility 1,6,0.10259301014656144
0,PPO Bidder - Net Utility 1,7,0.09718757087775005
0,PPO Bidder - Net Utility 1,8,0.09707103579845135
0,PPO Bidder - Net Utility 1,9,0.09387937786729328
0,PPO Bidder - Net Utility 1,10,0.10165882089217664
0,PPO Bidder - Net Utility 1,11,0.09853225622937763
0,PPO Bidder - Net Utility 1,12,0.09779321160524253
0,PPO Bidder - Net Utility 1,13,0.09868421052631579
0,PPO Bidder - Net Utility 1,14,0.09486745628877609
0,PPO Bidder - Net Utility 1,15,0.10207478087207367
0,PPO Bidder - Net Utility 1,16,0.09887317719840918
0,PPO Bidder - Net Utility 1,17,0.09584487534626039
0,PPO Bidder - Net Utility 1,18,0.10630932439977667
0,PPO Bidder - Net Utility 1,19,0.09851936218678815
0,PPO Bidder - Net Utility 1,20,0.09915492957746479
0,PPO Bidder - Net Utility 1,21,0.10122320727191111
0,PPO Bidder - Net Utility 1,22,0.09984205776173286
0,PPO Bidder - Net Utility 1,23,0.09227443395153032
0,PPO Bidder - Net Utility 1,24,0.09575064469110887
0,Truthful Competitor 2,0,0.09954751131221719
0,Truthful Competitor 2,1,0.09869158878504673
0,Truthful Competitor 2,2,0.09411764705882353
0,Truthful Competitor 2,3,0.0924962852897474
0,Truthful Competitor 2,4,0.10373134328358209
0,Truthful Competitor 2,5,0.08873720136518772
0,Truthful Competitor 2,6,0.1036468330134357
0,Truthful Competitor 2,7,0.10493601462522852
0,Truthful Competitor 2,8,0.0973217653715579
0,Truthful Competitor 2,9,0.10277569392348088
0,Truthful Competitor 2,10,0.08977744247453791
0,Truthful Competitor 2,11,0.09996256083863722
0,Truthful Competitor 2,12,0.1023502653525398
0,Truthful Competitor 2,13,0.10356731875719218
0,Truthful Competitor 2,14,0.10793287566742944
0,Truthful Competitor 2,15,0.09356060606060607
0,Truthful Competitor 2,16,0.09954233409610984
0,Truthful Competitor 2,17,0.09239766081871345
0,Truthful Competitor 2,18,0.10189116171362408
0,Truthful Competitor 2,19,0.10015174506828528
0,Truthful Competitor 2,20,0.09843400447427293
0,Truthful Competitor 2,21,0.10125646711012565
0,Truthful Competitor 2,22,0.10363288718929255
0,Truthful Competitor 2,23,0.10309667673716012
0,Truthful Competitor 2,24,0.09711191335740073
0,Truthful Competitor 3,0,0.0847457627118644
0,Truthful Competitor 3,1,0.10067255149222362
0,Truthful Competitor 3,2,0.09111361079865017
0,Truthful Competitor 3,3,0.10013623978201634
0,Truthful Competitor 3,4,0.09366515837104072
0,Truthful Competitor 3,5,0.10441767068273092
0,Truthful Competitor 3,6,0.09034195933456562
0,Truthful Competitor 3,7,0.10257589696412144
0,Truthful Competitor 3,8,0.0980653769179453
0,Truthful Competitor 3,9,0.10641699018040648
0,Truthful Competitor 3,10,0.09434389140271493
0,Truthful Competitor 3,11,0.09554690877648075
0,Truthful Competitor 3,12,0.10396932792061345
0,Truthful Competitor 3,13,0.09960070984915706
0,Truthful Competitor 3,14,0.10758337140246688
0,Truthful Competitor 3,15,0.10801855533465872
0,Truthful Competitor 3,16,0.09275028768699654
0,Truthful Competitor 3,17,0.09267949319568278
0,Truthful Competitor 3,18,0.10200405314118442
0,Truthful Competitor 3,19,0.10785859040756586
0,Truthful Competitor 3,20,0.10351648351648352
0,Truthful Competitor 3,21,0.09284420289855072
0,Truthful Competitor 3,22,0.09767955801104973
0,Truthful Competitor 3,23,0.09701159678858162
0,Truthful Competitor 3,24,0.09565217391304348
0,Truthful Competitor 4,0,0.13793103448275862
0,Truthful Competitor 4,1,0.09248210023866349
0,Truthful Competitor 4,2,0.09908069458631256
0,Truthful Competitor 4,3,0.09980897803247374
0,Truthful Competitor 4,4,0.09975429975429975
0,Truthful Competitor 4,5,0.09873540856031128
0,Truthful Competitor 4,6,0.10782865583456426
0,Truthful Competitor 4,7,0.09833659491193737
0,Truthful Competitor 4,8,0.09933435739887353
0,Truthful Competitor 4,9,0.10226724553786783
0,Truthful Competitor 4,10,0.10093549975381585
0,Truthful Competitor 4,11,0.1017283950617284
0,Truthful Competitor 4,12,0.09271870089051859
0,Truthful Competitor 4,13,0.10264075734927752
0,Truthful Competitor 4,14,0.09337349397590361
0,Truthful Competitor 4,15,0.10553018772196854
0,Truthful Competitor 4,16,0.09181636726546906
0,Truthful Competitor 4,17,0.09073265405143134
0,Truthful Competitor 4,18,0.10128458498023715
0,Truthful Competitor 4,19,0.09528439474963539
0,Truthful Competitor 4,20,0.09596456692913385
0,Truthful Competitor 4,21,0.10612043435340572
0,Truthful Competitor 4,22,0.09208561473369836
0,Truthful Competitor 4,23,0.10467479674796748
0,Truthful Competitor 4,24,0.11571428571428571
0,Truthful Competitor 5,0,0.09736842105263158
0,Truthful Competitor 5,1,0.09545614653046848
0,Truthful Competitor 5,2,0.10472697636511817
0,Truthful Competitor 5,3,0.10372446936323589
0,Truthful Competitor 5,4,0.09108989657915673
0,Truthful Competitor 5,5,0.09181240063593005
0,Truthful Competitor 5,6,0.09068727124847499
