Run,Agent,Iteration,Total Sales Revenue
0,Truthful Competitor 6,7,1180.0
0,Truthful Competitor 6,8,860.0
0,Truthful Competitor 6,9,1100.0
0,Truthful Competitor 6,10,1040.0
0,Truthful Competitor 6,11,1260.0
0,Truthful Competitor 6,12,1180.0
0,Truthful Competitor 6,13,940.0
0,Truthful Competitor 6,14,780.0
0,Truthful Competitor 6,15,900.0
0,Truthful Competitor 6,16,1260.0
0,Truthful Competitor 6,17,1100.0
0,Truthful Competitor 6,18,1160.0
0,Truthful Competitor 6,19,1300.0
0,Truthful Competitor 6,20,1140.0
0,Truthful Competitor 6,21,940.0
0,Truthful Competitor 6,22,860.0
0,Truthful Competitor 6,23,1000.0
0,Truthful Competitor 6,24,840.0
1,PPO Bidder - Net Utility 1,0,3000.0
1,PPO Bidder - Net Utility 1,1,15280.0
1,PPO Bidder - Net Utility 1,2,16920.0
1,PPO Bidder - Net Utility 1,3,16960.0
1,PPO Bidder - Net Utility 1,4,16740.0
1,PPO Bidder - Net Utility 1,5,17440.0
1,PPO Bidder - Net Utility 1,6,16960.0
1,PPO Bidder - Net Utility 1,7,17500.0
1,PPO Bidder - Net Utility 1,8,17100.0
1,PPO Bidder - Net Utility 1,9,16360.0
1,PPO Bidder - Net Utility 1,10,16580.0
1,PPO Bidder - Net Utility 1,11,16020.0
1,PPO Bidder - Net Utility 1,12,15580.0
1,PPO Bidder - Net Utility 1,13,16180.0
1,PPO Bidder - Net Utility 1,14,15720.0
1,PPO Bidder - Net Utility 1,15,16980.0
1,PPO Bidder - Net Utility 1,16,15580.0
1,PPO Bidder - Net Utility 1,17,15680.0
1,PPO Bidder - Net Utility 1,18,15420.0
1,PPO Bidder - Net Utility 1,19,15660.0
1,PPO Bidder - Net Utility 1,20,15920.0
1,PPO Bidder - Net Utility 1,21,16040.0
1,PPO Bidder - Net Utility 1,22,15800.0
1,PPO Bidder - Net Utility 1,23,15360.0
1,PPO Bidder - Net Utility 1,24,15600.0
1,Truthful Competitor 2,0,260.0
1,Truthful Competitor 2,1,4580.0
1,Truthful Competitor 2,2,5220.0
1,Truthful Competitor 2,3,5260.0
1,Truthful Competitor 2,4,5600.0
1,Truthful Competitor 2,5,5800.0
1,Truthful Competitor 2,6,5620.0
1,Truthful Competitor 2,7,5860.0
1,Truthful Competitor 2,8,5100.0
1,Truthful Competitor 2,9,5400.0
1,Truthful Competitor 2,10,5420.0
1,Truthful Competitor 2,11,5700.0
1,Truthful Competitor 2,12,5800.0
1,Truthful Competitor 2,13,5720.0
1,Truthful Competitor 2,14,6000.0
1,Truthful Competitor 2,15,4960.0
1,Truthful Competitor 2,16,5920.0
1,Truthful Competitor 2,17,5380.0
1,Truthful Competitor 2,18,5640.0
1,Truthful Competitor 2,19,6060.0
1,Truthful Competitor 2,20,5440.0
1,Truthful Competitor 2,21,5340.0
1,Truthful Competitor 2,22,5780.0
1,Truthful Competitor 2,23,5260.0
1,Truthful Competitor 2,24,5600.0
1,Truthful Competitor 3,0,1720.0
1,Truthful Competitor 3,1,7700.0
1,Truthful Competitor 3,2,8980.0
1,Truthful Competitor 3,3,8440.0
1,Truthful Competitor 3,4,8860.0
1,Truthful Competitor 3,5,9300.0
1,Truthful Competitor 3,6,9740.0
1,Truthful Competitor 3,7,8880.0
1,Truthful Competitor 3,8,8420.0
1,Truthful Competitor 3,9,9220.0
1,Truthful Competitor 3,10,9360.0
1,Truthful Competitor 3,11,8240.0
1,Truthful Competitor 3,12,9660.0
1,Truthful Competitor 3,13,8960.0
1,Truthful Competitor 3,14,9160.0
1,Truthful Competitor 3,15,9600.0
1,Truthful Competitor 3,16,8900.0
1,Truthful Competitor 3,17,8780.0
1,Truthful Competitor 3,18,9120.0
1,Truthful Competitor 3,19,8780.0
1,Truthful Competitor 3,20,8840.0
1,Truthful Competitor 3,21,8920.0
1,Truthful Competitor 3,22,8920.0
1,Truthful Competitor 3,23,9520.0
1,Truthful Competitor 3,24,8900.0
1,Truthful Competitor 4,0,680.0
1,Truthful Competitor 4,1,4100.0
1,Truthful Competitor 4,2,4240.0
1,Truthful Competitor 4,3,4460.0
1,Truthful Competitor 4,4,4560.0
1,Truthful Competitor 4,5,4360.0
1,Truthful Competitor 4,6,3820.0
1,Truthful Competitor 4,7,3800.0
1,Truthful Competitor 4,8,3680.0
1,Truthful Competitor 4,9,4600.0
1,Truthful Competitor 4,10,4120.0
1,Truthful Competitor 4,11,3580.0
1,Truthful Competitor 4,12,4300.0
1,Truthful Competitor 4,13,4540.0
1,Truthful Competitor 4,14,4080.0
1,Truthful Competitor 4,15,4320.0
1,Truthful Competitor 4,16,4440.0
1,Truthful Competitor 4,17,4920.0
1,Truthful Competitor 4,18,4240.0
1,Truthful Competitor 4,19,4700.0
1,Truthful Competitor 4,20,4020.0
1,Truthful Competitor 4,21,4380.0
1,Truthful Competitor 4,22,5180.0
1,Truthful Competitor 4,23,4680.0
1,Truthful Competitor 4,24,4460.0
1,Truthful Competitor 5,0,6180.0
1,Truthful Competitor 5,1,4880.0
1,Truthful Competitor 5,2,4860.0
1,Truthful Competitor 5,3,5260.0
1,Truthful Competitor 5,4,4860.0
1,Truthful Competitor 5,5,4880.0
1,Truthful Competitor 5,6,5000.0
1,Truthful Competitor 5,7,5200.0
1,Truthful Competitor 5,8,4920.0
1,Truthful Competitor 5,9,5900.0
1,Truthful Competitor 5,10,5220.0
1,Truthful Competitor 5,11,5400.0
1,Truthful Competitor 5,12,5260.0
1,Truthful Competitor 5,13,5100.0
1,Truthful Competitor 5,14,4620.0
1,Truthful Competitor 5,15,4980.0
1,Truthful Competitor 5,16,5720.0
1,Truthful Competitor 5,17,4960.0
1,Truthful Competitor 5,18,4820.0
1,Truthful Competitor 5,19,5140.0
1,Truthful Competitor 5,20,5080.0
1,Truthful Competitor 5,21,5100.0
1,Truthful Competitor 5,22,4820.0
1,Truthful Competitor 5,23,5180.0
1,Truthful Competitor 5,24,5440.0
1,Truthful Competitor 6,0,1240.0
1,Truthful Competitor 6,1,2260.0
1,Truthful Competitor 6,2,1100.0
1,Truthful Competitor 6,3,1060.0
1,Truthful Competitor 6,4,880.0
1,Truthful Competitor 6,5,1080.0
1,Truthful Competitor 6,6,1160.0
1,Truthful Competitor 6,7,980.0
1,Truthful Competitor 6,8,1340.0
1,Truthful Competitor 6,9,1200.0
1,Truthful Competitor 6,10,1320.0
1,Truthful Competitor 6,11,1220.0
1,Truthful Competitor 6,12,1100.0
1,Truthful Competitor 6,13,1020.0
1,Truthful Competitor 6,14,1060.0
1,Truthful Competitor 6,15,1160.0
1,Truthful Competitor 6,16,980.0
